attempts,small_area,big_area,abs_err_small,abs_err_big
92100,0.94567,0.936745,0.00115328,0.00777197
92600,0.943885,0.943341,0.000632197,0.00117602
93100,0.943636,0.949031,0.00088131,0.00451366
93600,0.946595,0.947077,0.00207737,0.00256012
94100,0.943411,0.953203,0.00110592,0.00868607
94600,0.946181,0.960087,0.0016641,0.0155694
95100,0.945557,0.958004,0.00104012,0.0134863
95600,0.948418,0.936112,0.0039007,0.00840566
96100,0.946371,0.956027,0.00185378,0.0115097
96600,0.940839,0.9544,0.00367868,0.00988256
97100,0.942817,0.967107,0.0017005,0.02259
97600,0.945761,0.947311,0.00124357,0.0027934
98100,0.947987,0.945257,0.00346956,0.000740029
98600,0.943446,0.93859,0.00107145,0.0059268
99100,0.943756,0.927674,0.000760879,0.0168429
99600,0.942884,0.93844,0.00163315,0.00607728
